data,algorithm,server,replica,node,cost,time
amazon,metis,128,0,0,160047,1.099
amazon,metis,128,2,0,574820,13.424
amazon,offline,128,0,0,243639,546.299
amazon,offline,128,2,0,601642,580.554
amazon,online,128,0,0,261214,287.139
amazon,online,128,2,0,778499,288.28
amazon,random,128,0,0,1728554,1.326
amazon,random,128,2,0,2229363,1.836
amazon,spar,128,0,0,1689778,8.868
amazon,spar,128,2,0,2189165,9.78
amazonsample,metis,128,0,0,5761,0.073
amazonsample,metis,128,2,0,10393,0.119
amazonsample,metis,128,3,0,12879,0.15
amazonsample,offline,128,0,0,4586,1.29
amazonsample,offline,128,2,0,9750,1.362
amazonsample,offline,128,3,0,12465,1.361
amazonsample,online,128,0,0,7598,0.115
amazonsample,online,128,2,0,13824,0.113
amazonsample,online,128,3,0,17162,0.123
amazonsample,random,128,0,0,19295,0.008
amazonsample,random,128,2,0,25753,0.013
amazonsample,random,128,3,0,27737,0.014
amazonsample,spar,128,0,0,15806,0.047
amazonsample,spar,128,2,0,22023,0.05
amazonsample,spar,128,3,0,25534,0.047
arxiv,metis,128,0,0,3627,0.061
arxiv,metis,128,2,0,13201,0.132
arxiv,metis,128,3,0,18032,0.174
arxiv,offline,128,0,0,5655,3.436
arxiv,offline,128,2,0,14346,3.753
arxiv,offline,128,3,0,18778,3.749
arxiv,online,128,0,0,8580,0.355
arxiv,online,128,2,0,18697,0.36
arxiv,online,128,3,0,23766,0.388
arxiv,random,128,0,0,27997,0.016
arxiv,random,128,2,0,38275,0.023
arxiv,random,128,3,0,40911,0.025
arxiv,spar,128,0,0,23271,0.122
arxiv,spar,128,2,0,33358,0.114
arxiv,spar,128,3,0,36260,0.088
facebook,metis,128,0,0,25500,0.177
facebook,metis,128,0,1024,12268,0.053
facebook,metis,128,0,2048,26012,0.098
facebook,metis,128,0,256,1543,0.017
facebook,metis,128,0,512,4262,0.027
facebook,metis,128,2,0,28298,0.243
facebook,metis,128,2,1024,12913,0.064
facebook,metis,128,2,2048,26937,0.144
facebook,metis,128,2,256,2053,0.019
facebook,metis,128,2,512,4893,0.027
facebook,metis,128,3,0,30072,0.279
facebook,metis,128,3,1024,13281,0.079
facebook,metis,128,3,2048,27451,0.169
facebook,metis,128,3,256,2270,0.02
facebook,metis,128,3,512,5185,0.033
facebook,offline,128,0,0,43743,168.272
facebook,offline,128,0,1024,11153,9.536
facebook,offline,128,0,2048,23158,53.905
facebook,offline,128,0,256,1914,0.451
facebook,offline,128,0,512,3834,1.287
facebook,offline,128,2,0,41674,152.141
facebook,offline,128,2,1024,11178,9.651
facebook,offline,128,2,2048,23768,58.746
facebook,offline,128,2,256,1907,0.391
facebook,offline,128,2,512,4074,1.438
facebook,offline,128,3,0,30735,109.034
facebook,offline,128,3,1024,9234,8.705
facebook,offline,128,3,2048,18500,43.703
facebook,offline,128,3,256,1999,0.422
facebook,offline,128,3,512,3910,1.567
facebook,online,128,0,0,85224,3.864
facebook,online,128,0,1024,17293,0.323
facebook,online,128,0,2048,42085,1.523
facebook,online,128,0,256,2606,0.035
facebook,online,128,0,512,5779,0.071
facebook,online,128,2,0,89068,4.091
facebook,online,128,2,1024,18203,0.369
facebook,online,128,2,2048,43346,1.666
facebook,online,128,2,256,2974,0.031
facebook,online,128,2,512,6285,0.073
facebook,online,128,3,0,63107,4.892
facebook,online,128,3,1024,14790,0.407
facebook,online,128,3,2048,33755,1.981
facebook,online,128,3,256,2676,0.036
facebook,online,128,3,512,5871,0.09
facebook,random,128,0,0,133016,0.063
facebook,random,128,0,1024,22404,0.011
facebook,random,128,0,2048,63164,0.023
facebook,random,128,0,256,2762,0.0
facebook,random,128,0,512,6544,0.002
facebook,random,128,2,0,139037,0.057
facebook,random,128,2,1024,24091,0.005
facebook,random,128,2,2048,66277,0.023
facebook,random,128,2,256,3237,0.0
facebook,random,128,2,512,7474,0.004
facebook,random,128,3,0,83250,0.039
facebook,random,128,3,1024,17977,0.008
facebook,random,128,3,2048,41664,0.017
facebook,random,128,3,256,2892,0.0
facebook,random,128,3,512,6434,0.002
facebook,spar,128,0,0,110824,5.551
facebook,spar,128,0,1024,18505,0.376
facebook,spar,128,0,2048,53021,2.248
facebook,spar,128,0,256,2568,0.017
facebook,spar,128,0,512,5859,0.06
facebook,spar,128,2,0,115856,5.408
facebook,spar,128,2,1024,20294,0.353
facebook,spar,128,2,2048,54505,1.996
facebook,spar,128,2,256,3043,0.03
facebook,spar,128,2,512,6778,0.064
facebook,spar,128,3,0,77626,1.467
facebook,spar,128,3,1024,16139,0.179
facebook,spar,128,3,2048,38141,0.632
facebook,spar,128,3,256,2628,0.019
facebook,spar,128,3,512,5887,0.038
p2pgnutella,metis,128,0,0,28474,0.154
p2pgnutella,metis,128,2,0,36823,0.276
p2pgnutella,metis,128,3,0,41820,0.328
p2pgnutella,offline,128,0,0,27871,9.685
p2pgnutella,offline,128,2,0,35991,8.949
p2pgnutella,offline,128,3,0,41126,10.284
p2pgnutella,online,128,0,0,32479,0.631
p2pgnutella,online,128,2,0,47638,0.638
p2pgnutella,online,128,3,0,55338,0.705
p2pgnutella,random,128,0,0,48980,0.023
p2pgnutella,random,128,2,0,64535,0.035
p2pgnutella,random,128,3,0,66148,0.036
p2pgnutella,spar,128,0,0,47167,0.17
p2pgnutella,spar,128,2,0,62769,0.191
p2pgnutella,spar,128,3,0,65275,0.152
twitter,metis,128,0,0,246465,1.055
twitter,metis,128,2,0,341204,4.897
twitter,offline,128,0,0,249468,21631.278
twitter,offline,128,2,0,327942,25492.353
twitter,online,128,0,0,390226,2339.155
twitter,online,128,2,0,518636,2749.648
twitter,random,128,0,0,1899418,1.591
twitter,random,128,2,0,2034938,1.847
twitter,spar,128,0,0,1850370,286.516
twitter,spar,128,2,0,1987826,294.095
twittersample1,metis,128,0,0,17063,0.107
twittersample1,metis,128,2,0,21564,0.165
twittersample1,metis,128,3,0,23989,0.206
twittersample1,offline,128,0,0,15054,28.188
twittersample1,offline,128,2,0,18650,36.166
twittersample1,offline,128,3,0,21145,50.053
twittersample1,online,128,0,0,26401,1.57
twittersample1,online,128,2,0,32020,1.697
twittersample1,online,128,3,0,34437,2.687
twittersample1,random,128,0,0,51539,0.029
twittersample1,random,128,2,0,58038,0.025
twittersample1,random,128,3,0,45995,0.03
twittersample1,spar,128,0,0,46132,1.127
twittersample1,spar,128,2,0,53122,1.143
twittersample1,spar,128,3,0,43888,0.497
twittersample2,metis,128,0,0,14790,0.114
twittersample2,metis,128,2,0,25427,0.227
twittersample2,metis,128,3,0,31227,0.286
twittersample2,offline,128,0,0,17088,27.875
twittersample2,offline,128,2,0,26569,36.034
twittersample2,offline,128,3,0,31741,31.128
twittersample2,online,128,0,0,27937,1.876
twittersample2,online,128,2,0,41107,2.09
twittersample2,online,128,3,0,45745,2.624
twittersample2,random,128,0,0,69774,0.031
twittersample2,random,128,2,0,83374,0.039
twittersample2,random,128,3,0,76149,0.036
twittersample2,spar,128,0,0,62668,0.726
twittersample2,spar,128,2,0,76064,0.743
twittersample2,spar,128,3,0,71602,0.444
